100,25,3
99,25,3
98,25,3
97,25,3
96,25,3
95,25,3
94,30,3
93,31,3
92,32,3
91,33,3
90,34,3
100,25,3
99,25,3
98,25,3
97,25,3
96,25,3
95,24,2
94,25,2
93,26,2
92,28,2
91,29,2
90,30,2
89,31,2
88,32,2
87,33,2
86,34,2
85,30,2
84,31,2
83,32,2
82,33,2
81,34,2
90,24,1
89,25,1
88,26,1
87,28,1
86,29,1
85,24,1
84,25,1
83,26,1
82,28,1
81,29,1
90,19,1
89,20,1
88,21,1
87,22,1
86,23,1
85,19,0
84,20,0
83,21,0
82,22,0
81,23,0
80,30,2
79,31,2
78,32,2
77,33,2
76,34,2
75,30,1
74,31,1
73,32,1
72,33,1
71,34,1
80,24,0
79,25,0
78,26,0
77,28,0
76,29,0
75,24,0
74,25,0
73,26,0
72,28,0
71,29,0
80,19,0
79,20,0
78,21,0
77,22,0
76,23,0
75,19,0
74,20,0
73,21,0
72,22,0
71,23,0
