100,15,1
99,15,1
98,15,1
97,15,1
96,15,1
95,15,1
94,10,1
91,11,1
91,11,1
91,11,1
90,14,1
100,15,1
99,15,1
98,15,1
97,15,1
96,15,1
95,14,1
94,15,1
91,16,1
91,18,1
91,19,1
90,10,1
89,11,1
88,11,1
87,11,1
86,14,1
85,10,1
84,11,1
81,11,1
81,11,1
81,14,1
90,14,1
89,15,1
88,16,1
87,18,1
86,19,1
85,14,1
84,15,1
81,16,1
81,18,1
81,19,1
90,19,1
89,10,1
88,11,1
87,11,1
86,11,1
85,19,0
84,10,0
81,11,0
81,11,0
81,11,0
80,10,1
79,11,1
78,11,1
77,11,1
76,14,1
75,10,1
74,11,1
71,11,1
71,11,1
71,14,1
80,14,0
79,15,0
78,16,0
77,18,0
76,19,0
75,14,0
74,15,0
71,16,0
71,18,0
71,19,0
80,19,0
79,10,0
78,11,0
77,11,0
76,11,0
75,19,0
74,10,0
71,11,0
71,11,0
71,11,0
